date,amount,category,customerID
2025-12-02,773.43,Electronics,1041
2025-12-02,661.61,Electronics,1084
2025-12-02,571.22,Electronics,1063
2025-12-02,319.33,Sports & Outdoors,1042
2025-12-02,281.32,Clothing,1026
2025-12-02,262.1,Clothing,1057
2025-12-02,249.54,Clothing,1051
2025-12-02,152.92,Sports & Outdoors,1080
2025-12-02,86.48,Food,1062
2025-12-02,80.37,Sports & Outdoors,1042
2025-12-02,62.26,Clothing,1001
2025-12-01,725.85,Electronics,1032
2025-12-01,360.36,Electronics,1100
2025-12-01,315.44,Electronics,1012
2025-12-01,284.66,Clothing,1093
2025-12-01,274.81,Electronics,1010
2025-12-01,251.69,Electronics,1035
2025-12-01,240.72,Clothing,1050
2025-12-01,234.37,Clothing,1014
2025-12-01,190.54,Electronics,1058
2025-12-01,165.92,Clothing,1014
2025-12-01,71.64,Clothing,1049
2025-12-01,53.9,Electronics,1040
2025-12-01,42.4,Clothing,1056
2025-11-30,675.99,Electronics,1050
2025-11-30,626.75,Electronics,1077
2025-11-30,377.82,Electronics,1010
2025-11-30,335.0,Electronics,1082
2025-11-30,237.73,Clothing,1004
2025-11-30,237.35,Clothing,1038
2025-11-30,211.92,Clothing,1085
2025-11-30,140.73,Sports & Outdoors,1073
2025-11-30,122.85,Clothing,1049
2025-11-30,96.19,Food,1058
2025-11-30,88.44,Food,1011
2025-11-30,69.46,Food,1050
2025-11-30,65.09,Food,1045
2025-11-30,25.39,Food,1089
2025-11-29,769.47,Electronics,1059
2025-11-29,701.09,Electronics,1073
2025-11-29,671.05,Electronics,1011
2025-11-29,462.81,Home & Garden,1030
2025-11-29,353.96,Electronics,1049
2025-11-29,297.31,Clothing,1029
2025-11-29,205.37,Electronics,1019
2025-11-29,104.4,Food,1098
2025-11-29,46.44,Food,1013
2025-11-29,40.84,Food,1070
2025-11-29,40.43,Clothing,1002
2025-11-29,37.8,Clothing,1010
2025-11-29,34.05,Clothing,1041
2025-11-29,19.1,Food,1056
2025-11-28,591.64,Electronics,1069
2025-11-28,514.84,Electronics,1033
2025-11-28,463.73,Electronics,1002
2025-11-28,343.27,Home & Garden,1003
2025-11-28,122.24,Electronics,1020
2025-11-28,98.68,Food,1023
2025-11-28,83.34,Food,1079
2025-11-28,36.34,Sports & Outdoors,1090
2025-11-27,751.07,Electronics,1075
2025-11-27,717.02,Electronics,1083
2025-11-27,622.52,Electronics,1063
2025-11-27,590.24,Electronics,1063
2025-11-27,580.38,Electronics,1002
2025-11-27,380.98,Home & Garden,1003
2025-11-27,334.88,Electronics,1032
2025-11-27,277.24,Sports & Outdoors,1098
2025-11-27,267.43,Sports & Outdoors,1063
2025-11-27,255.93,Clothing,1027
2025-11-27,254.36,Home & Garden,1093
2025-11-27,226.51,Clothing,1046
2025-11-27,223.86,Sports & Outdoors,1010
2025-11-27,205.02,Clothing,1088
2025-11-27,153.12,Electronics,1081
2025-11-27,138.83,Clothing,1073
2025-11-27,96.93,Clothing,1066
2025-11-27,42.47,Food,1026
2025-11-26,731.75,Electronics,1028
2025-11-26,555.25,Electronics,1078
2025-11-26,385.97,Sports & Outdoors,1016
2025-11-26,343.44,Sports & Outdoors,1012
